,RA,DEC,Distance,x,y,z
4438,173.08666666666667,61.0825,22222.222222222223,-10667.42308744893,1293.4188819836945,19451.486132501977
4439,172.94833333333335,-20.776666666666667,100.0,-92.78979608052764,11.478098780669457,-35.47262312989116
4440,172.94208333333336,-59.44222222222222,41666.666666666664,-21023.104389189935,2602.8866279617678,-35879.871434473
4441,172.95333333333335,-59.51583333333333,71428.57142857142,-35962.02689504453,4445.316851149513,-61554.95590136922
4442,173.06708333333333,-29.263333333333332,76923.07692307692,-66615.65812401759,8100.214534591777,-37601.86671577896
4443,173.06791666666666,-29.261111111111113,76923.07692307692,-66617.2236106952,8099.421659467997,-37599.26396218925
4444,173.09708333333333,-26.746666666666666,100.0,-88.65319343444547,10.732794252302869,-45.004648886670914
4445,173.19791666666666,-7.8275,100.0,-98.37093731005044,11.733651845870343,-13.619108161037207
4446,173.20041666666665,-40.436388888888885,100.0,-75.57730461446324,9.011490530515015,-64.86034278070899
4447,173.08291666666665,-66.96222222222222,100.0,-38.84896131044451,4.7129941581164525,-92.02470261383704
4448,173.22541666666666,-31.08722222222222,52631.57894736842,-44758.04952537771,5316.938160783152,-27175.91348549886
4449,173.25041666666667,-31.85777777777778,37037.03703703704,-31239.78580334848,3697.241944501678,-19548.61369631047
4450,173.31083333333336,-16.280555555555555,100.0,-95.33661477781688,11.181203936409617,-28.03409640488824
4451,173.48458333333335,36.815555555555555,-71428.57142857142,56814.151714058265,-6488.640931562938,-42802.92653779348
4452,173.40541666666667,-40.58694444444445,35714.28571428571,-26942.677556220035,3114.7929581862127,-23235.756820272138
4453,173.54166666666666,11.023611111111112,100.0,-97.53194809066694,11.040519810961005,19.121349950859248
4454,173.59166666666664,3.0599999999999996,22222.222222222223,-22051.884138215115,2476.7628471271355,1186.2597724168993
4455,173.67708333333334,16.796944444444446,333333.3333333333,-317170.4759454729,35144.35750536588,96326.91438621058
4456,173.77041666666668,54.78527777777778,100.0,-57.3237230488042,6.257297887626305,81.69967563564437
4457,173.62291666666667,-32.831388888888895,9433.962264150943,-7878.0233546535865,880.4714189066954,-5114.798344553289
4458,173.76583333333335,20.441388888888888,100.0,-93.14887117552718,10.175411463950367,34.92490229427062
4459,173.69041666666666,-54.26416666666667,100.0,-58.05111563593261,6.418731030267812,-81.17184157935964
4460,174.01166666666666,69.32277777777777,40000.0,-14047.044245227447,1473.5120240422789,37423.37919386256
4461,173.73666666666668,-49.13666666666666,29411.76470588235,-19127.990975987632,2099.3605034936927,-22243.303482466203
4462,173.805,-47.3725,125000.0,-84159.30439097536,9135.195312902202,-91971.51565034843
4463,173.93083333333334,10.911111111111111,100.0,-97.64183365662396,10.381759416819513,18.92858662403132
4464,174.07458333333332,27.78111111111111,83333.33333333333,-73333.97092823264,7611.208894003476,38841.24935572256
4465,173.98166666666668,-47.641666666666666,45454.545454545456,-30456.893805282307,3211.002027736703,-33588.43235685414
4466,173.945,-63.01972222222222,100.0,-45.11527148849268,4.785596506065297,-89.11627429712675
4467,174.17041666666665,-9.802222222222223,100.0,-98.03051930000134,10.008717716529373,-17.024771817645398
4468,174.14583333333334,-33.57,100.0,-82.88654594247274,8.49848426974982,-55.29553568637498
4469,174.17,-37.23777777777778,100.0,-79.201324338363,8.086876972760347,-60.51241727015101
4470,174.23708333333332,-0.8238888888888889,52631.57894736842,-52360.16026102436,5284.314846113407,-756.7935914536723
4471,174.09291666666667,-61.05222222222222,100.0,-48.14421912045753,4.981236658440054,-87.5061223380055
4472,174.25500000000002,-32.988055555555555,100.0,-83.45710940731354,8.396332239651292,-54.44641856262991
4473,174.47083333333333,50.61833333333333,100.0,-63.15311501093045,6.1134013634690065,77.29366331197744
4474,174.2525,-61.28333333333333,500000.0,-239031.60455954893,24058.681524277225,-438503.2176221753
4475,174.39125,-47.74722222222222,1000000.0,-669183.5560402285,65717.20063998592,-740185.5293542278
4476,174.5858333333333,43.62555555555556,100.0,-72.06347990012893,6.8299821502480365,68.99424764798154
4477,174.54083333333332,8.884166666666665,100.0,-98.35212511177325,9.399494272588697,15.44373638138365
4478,174.315,-75.89666666666668,100.0,-24.247294747019446,2.4137907625777175,-96.98578406965454
4479,174.63958333333332,46.83416666666667,100.0,-68.11204859783317,6.391011000193126,72.93767074839876
4480,174.705,64.34694444444445,250000.0,-107768.31916660274,9987.879284458255,225358.0077374761
4481,174.63416666666666,33.62555555555556,100.0,-82.9025472514042,7.786722540303174,55.376300086851494
4482,174.615,8.134166666666665,-200000.0,197114.08577064285,-18580.70285186091,-28298.315715506982
4483,174.60041666666666,-2.4361111111111113,100.0,-99.4662898461238,9.401602852427773,-4.2505350312768195
4484,174.45166666666665,-67.62027777777777,100.0,-37.895935768603515,3.6812307036313525,-92.46808418437422
4485,174.6870833333333,45.10861111111111,20408.16326530612,-14341.490434097024,1333.6808564357002,14458.079933562085
4486,174.53041666666667,-61.82638888888889,41666.666666666664,-19583.129435875024,1875.1489258900388,-36730.04177937468
4487,174.66708333333332,-13.201944444444443,100.0,-96.9357017501253,9.048625389488217,-22.838391028517425
4488,174.7516666666667,-24.72111111111111,100.0,-90.4545955143746,8.308956283383685,-41.82017928956907
4489,174.96291666666667,-14.46861111111111,100.0,-96.45452251843913,8.501586577243504,-24.984957702776917
4490,174.96,-16.62027777777778,100.0,-95.45165468602114,8.418089701970962,-28.60275132692917
4491,174.8725,-65.39777777777779,166666.66666666666,-69108.3463887306,6201.190861342257,-151536.66047888942
4492,175.11416666666665,57.970555555555556,100.0,-52.842790262646055,4.517063793055735,84.77756573497179
4493,175.05333333333334,-34.74472222222222,100.0,-81.86389334286953,7.0853832048247,-56.99210744996248
4494,175.19624999999996,21.352777777777778,100.0,-92.80847248243792,7.799462344751711,36.410929988251645
4495,175.2625,34.20166666666667,8403.361344537816,-6926.374753413739,574.0158530493744,4723.591902630154
4496,175.1775,-53.968611111111116,100.0,-58.61460012858216,4.945186465211767,-80.86948610316936
4497,175.285,-29.19638888888889,31250.0,-27187.458271258107,2242.381875545174,-15243.895049259087
4498,175.22333333333333,-62.09,40000.0,-18658.333160656995,1559.132207992795,-35347.35789877267
4499,175.43166666666667,55.1725,100.0,-56.92932455548625,4.548758286968174,82.08751917132622
4500,175.39291666666668,31.746111111111112,38461.53846153846,-32601.549939526343,2627.1150058493845,20236.777142495124
